x,y,z
5,5,5
5,5,5
220,274,1
105,62,417
31,98,13
120,275,18
52,12,153
139,210,326
98,206,78
147,264,10
107,182,1
33,81,233
162,172,1
113,190,6
132,162,6
4,55,1
131,257,1
153,148,1
111,76,5
279,187,206
101,197,1
84,278,214
18,106,276
274,126,10
33,70,152
199,159,1
263,145,1
294,98,1
114,77,159
266,23,148
5,41,0
165,264,13
57,172,1175
14,63,1
206,280,306
194,151,1
134,87,1
261,91,984
127,98,1
179,157,243
65,230,46
163,284,12
124,57,1
176,153,170
272,297,68
2,16,240
258,157,261
168,46,1
19,139,27
276,32,1
39,30,58
140,279,357
186,299,1
37,146,1
32,84,1062
295,292,4
29,250,122
90,196,356
198,71,144
163,116,185
2,264,536
299,253,813
83,226,38
162,290,231
100,276,393
90,93,143
12,114,179
68,121,77
216,6,11
247,41,29
145,122,102
288,67,13
215,25,1
183,199,22
48,31,244
193,229,14
70,121,10
199,230,1
222,94,249
256,203,1
210,275,7
132,47,1
28,276,1
191,174,1012
1,37,62
10,267,1
250,265,97
105,175,378
23,28,1
270,157,0
124,61,189
138,285,139
297,208,179
148,244,12
181,137,10
218,248,151
236,253,237
237,287,110
4,159,14
221,105,1
290,240,8
110,150,161
258,240,9
164,18,56
40,263,95
288,120,1
291,6,1
241,19,64
274,142,9
194,171,10
248,208,1
60,128,1
186,48,1
174,70,141
46,178,11
51,261,3
176,151,225
110,163,25
213,48,1
87,164,68
38,96,167
191,54,6
25,106,1
235,125,18
13,3,1129
52,44,6
64,213,866
253,218,56
295,148,191
70,218,40
186,15,792
256,271,0
81,17,1
287,59,15
258,39,0
124,88,789
96,87,229
149,31,1
10,116,56
179,278,8
249,9,1
105,206,360
57,129,1
267,108,372
174,31,1
39,170,308
66,9,340
57,295,61
299,106,1
149,146,4
231,161,377
110,118,28
180,271,325
277,84,1
127,238,12
286,211,47
231,158,0
229,238,97
97,60,182
0,116,1
241,274,188
72,79,232
180,226,1
51,186,64
283,81,213
109,137,13
171,292,11
190,12,1
25,94,154
88,90,259
100,218,3
2,152,0
172,21,1
243,141,361
108,268,60
199,190,11
122,62,1
55,127,1
85,124,59
104,247,317
176,67,1
168,258,870
223,270,1
296,254,9
294,140,12
190,287,2
259,149,80
99,152,12
213,115,11
233,105,7
45,134,1
16,224,99
9,78,8
213,141,322
162,272,12
30,120,1
46,24,5
89,34,1
138,276,9
179,145,1
222,60,173
239,113,177
55,238,9
234,3,1
296,137,1
221,258,1
16,53,355
144,17,187
18,197,17
3,249,115
86,7,141
256,22,1
200,22,1
32,286,1
261,42,229
122,231,973
79,86,77
296,63,1
87,43,1
182,157,1
151,209,87
45,203,1
171,160,4
153,99,15
24,279,7
245,149,1
4,159,171
176,209,1
246,168,39
1,175,1
224,171,340
113,185,115
251,48,29
6,54,186
264,77,8
68,153,145
227,224,184
238,195,1
100,136,299
120,104,1
140,190,1
161,71,202
4,240,31
97,193,39
95,44,102
75,46,11
253,139,6
298,184,204
82,80,3
27,109,12
127,115,15
62,12,1
149,127,1
231,40,216
44,98,82
283,23,1
182,66,9
123,297,4
227,172,244
6,128,2
139,237,216
31,150,1
55,127,217
188,17,1
57,117,1
106,299,51
177,15,4
